program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,required_docs,status
Diploma of Graphic Design,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Design,12,24800,,,,,,,,,,,,DRAFT
Diploma of Hospitality Management,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Hospitality,12,23200,,,,,,,,,,,,DRAFT
Diploma of Nursing,TAFE Queensland,Brisbane,AU,NURSING,VOCATIONAL,Nursing,18,,,,,,,,,,,,,DRAFT
Certificate III in Carpentry,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Trades,24,,,,,,,,,,,,,DRAFT
Certificate III in Hospitality,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Hospitality,6,,,,,,,,,,,,,DRAFT
Certificate III in Dental Assisting,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Health,9,,,,,,,,,,,,,DRAFT
Certificate III in Accounts Administration,TAFE Queensland,Brisbane,AU,DEGREE,VOCATIONAL,Accounting,6,,,,,,,,,,,,,DRAFT
Bachelor of Nursing,TAFE Queensland,Brisbane,AU,NURSING,UG,Nursing,24,32000,,,,,,,,,,,,DRAFT
Master of Cyber Security,TAFE Queensland,Brisbane,AU,DEGREE,PG,Computer Science,18,32000,,,,,,,,,,,,DRAFT
Bachelor of Information Technology,Charles Sturt University,Bathurst,AU,DEGREE,UG,Computer Science,,35280,,,,,,,,,,,,DRAFT
Bachelor of Business Studies,Charles Sturt University,Bathurst,AU,DEGREE,UG,Management,,34400,,,,,,,,,,,,DRAFT
Master of Project Management and Leadership,Charles Sturt University,Bathurst,AU,DEGREE,PG,Project Management,,35616,,,,,,,,,,,,DRAFT
Bachelor of Agricultural Business Management,Charles Sturt University,Bathurst,AU,DEGREE,UG,Agriculture,,39040,,,,,,,,,,,,DRAFT
Bachelor of Information Technology (Business Analysis),Federation University Australia,Ballarat,AU,DEGREE,UG,Business Analytics,,41400,,,,,,,,,,,,DRAFT
Bachelor of Information Technology (Cybersecurity),Federation University Australia,Ballarat,AU,DEGREE,UG,Computer Science,,41400,,,,,,,,,,,,DRAFT
Master of Technology (Software Engineering),Federation University Australia,Ballarat,AU,DEGREE,PG,Computer Science,,41400,,,,,,,,,,,,DRAFT
Master of Social Work (Qualifying),Federation University Australia,Ballarat,AU,DEGREE,PG,Social Work,,37800,,,,,,,,,,,,DRAFT
Bachelor of Science,Federation University Australia,Ballarat,AU,DEGREE,UG,Science,,38900,,,,,,,,,,,,DRAFT
Master of Information Technology,James Cook University,Townsville,AU,DEGREE,PG,Computer Science,24,,,,2|5|9,,,,,,,,,DRAFT
Master of Business Administration,James Cook University,Townsville,AU,DEGREE,PG,Management,24,,,,,,,,,,,,,DRAFT
Master of Data Science (Professional),James Cook University,Townsville,AU,DEGREE,PG,Data Science,,,,,,,,,,,,,,DRAFT
Master of Engineering Management,James Cook University,Townsville,AU,DEGREE,PG,Engineering,,,,,,,,,,,,,,DRAFT
Master of Professional Accounting,James Cook University,Townsville,AU,DEGREE,PG,Accounting,,,,,,,,,,,,,,DRAFT
Bachelor of Business,James Cook University,Townsville,AU,DEGREE,UG,Management,,,,,,,,,,,,,,DRAFT
Bachelor of Information Technology,James Cook University,Townsville,AU,DEGREE,UG,Computer Science,,,,,,,,,,,,,,DRAFT
Master of Information Technology,Australian Catholic University,North Sydney,AU,DEGREE,PG,Computer Science,24,,,,3|8,,,,,,,,,DRAFT
Diploma of Information Technology,TAFE NSW,Sydney,AU,DEGREE,VOCATIONAL,Computer Science,,,,,,,,,,,,,,DRAFT
Diploma of Business,TAFE NSW,Sydney,AU,DEGREE,VOCATIONAL,Management,,,,,,,,,,,,,,DRAFT
Diploma of Applied Commerce,TAFE NSW,Sydney,AU,DEGREE,VOCATIONAL,Accounting,,,,,,,,,,,,,,DRAFT
Diploma of Renewable Energy Engineering,TAFE NSW,Sydney,AU,DEGREE,VOCATIONAL,Engineering,,,,,,,,,,,,,,DRAFT
Bachelor of IT (Cyber and Network Security),TAFE NSW,Sydney,AU,DEGREE,UG,Computer Science,,,,,,,,,,,,,,DRAFT
Bachelor of IT (Data Engineering),TAFE NSW,Sydney,AU,DEGREE,UG,Data Science,,,,,,,,,,,,,,DRAFT
Bachelor of Business,TAFE NSW,Sydney,AU,DEGREE,UG,Management,36,,,,,,,,,,,,,DRAFT
Bachelor of Early Childhood Education,TAFE NSW,Sydney,AU,DEGREE,UG,Early Childhood Education,48,,,,,,,,,,,,,DRAFT
Master of Information Technology,CQUniversity,Rockhampton,AU,DEGREE,PG,Computer Science,24,,,,,,,,,,,,,DRAFT
Master of Information Systems,CQUniversity,Rockhampton,AU,DEGREE,PG,Computer Science,24,,,,,,,,,,,,,DRAFT
