program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
New Zealand Certificate in Automotive Engineering,Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,VOCATIONAL,Automotive Engineering,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Certificate in Construction Trade Skills (Carpentry),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,VOCATIONAL,Construction,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
New Zealand Certificate in Health and Wellbeing (Advanced Care and Support),Toi Ohomai Institute of Technology,Rotorua,NZ,DEGREE,VOCATIONAL,Aged Care,,27360,,,,,,,,,,,UNKNOWN,,,DRAFT
Graduate Diploma in Information and Communication Technologies,Ara Institute of Canterbury,Christchurch,NZ,DEGREE,UG_DIPLOMA,Information Technology,12,26572,,,2|7,6.0,,,,,,,UNKNOWN,,,DRAFT
New Zealand Diploma in Enrolled Nursing,Ara Institute of Canterbury,Christchurch,NZ,NURSING,UG_DIPLOMA,Nursing,18,,,,3,6.5,,C+,,,,,UNKNOWN,,,DRAFT
Master of Information Technology,Eastern Institute of Technology,Napier,NZ,DEGREE,PG,Information Technology,18,,,,2|4|7|10,6.5,58,,,,,,UNKNOWN,,,DRAFT
Postgraduate Diploma in Information Technology,Eastern Institute of Technology,Napier,NZ,DEGREE,PG_DIPLOMA,Information Technology,12,28000,,,2|4|7|10,6.5,58,,,,,,UNKNOWN,,,DRAFT
Master of Applied Management,Eastern Institute of Technology,Napier,NZ,DEGREE,PG,Management,,,,,,,,,,,,,UNKNOWN,,,DRAFT
Master of Digital Business,Eastern Institute of Technology,Napier,NZ,DEGREE,PG,Digital Business,,,,,,,,,,,,,UNKNOWN,,,DRAFT
Master of Logistics and Supply Chain Management,Eastern Institute of Technology,Napier,NZ,DEGREE,PG,Supply Chain Management,,,,,,,,,,,,,UNKNOWN,,,DRAFT
Master of Nursing Science,Eastern Institute of Technology,Napier,NZ,DEGREE,PG,Nursing,,,,,2|7,,,,,,,,UNKNOWN,,,DRAFT
Graduate Diploma in Applied Information Technology,Waikato Institute of Technology,Hamilton,NZ,DEGREE,UG_DIPLOMA,Information Technology,12,,,,2|7,6.0,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Postgraduate Diploma in Applied Information Technology,Waikato Institute of Technology,Hamilton,NZ,DEGREE,PG_DIPLOMA,Information Technology,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Postgraduate Diploma in Applied Informatics,Waikato Institute of Technology,Hamilton,NZ,DEGREE,PG_DIPLOMA,Informatics,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Applied Information Technology,Waikato Institute of Technology,Hamilton,NZ,DEGREE,PG,Information Technology,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Applied Management,Waikato Institute of Technology,Hamilton,NZ,DEGREE,PG,Management,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Graduate Diploma in Engineering Technology,Waikato Institute of Technology,Hamilton,NZ,DEGREE,UG_DIPLOMA,Engineering,,,,,,6.0,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Graduate Diploma in Supply Chain Logistics,Waikato Institute of Technology,Hamilton,NZ,DEGREE,UG_DIPLOMA,Supply Chain Management,,,,,,6.0,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Nursing Science (Pre-registration),Waikato Institute of Technology,Hamilton,NZ,NURSING,PG,Nursing,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Postgraduate Diploma in Nursing,Waikato Institute of Technology,Hamilton,NZ,DEGREE,PG_DIPLOMA,Nursing,,,,,,6.5,,,,,,,UNKNOWN,,DEGREE_MARKSHEETS|ENGLISH_TEST,DRAFT
Master of Information Technology,Universal College of Learning,Palmerston North,NZ,DEGREE,PG,Information Technology,18,,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
Postgraduate Diploma in Information Technology,Universal College of Learning,Palmerston North,NZ,DEGREE,PG_DIPLOMA,Information Technology,12,,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
Bachelor of Information and Communications Technology,Universal College of Learning,Palmerston North,NZ,DEGREE,UG,Information Technology,36,,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
New Zealand Diploma in Information Technology Technical Support,Universal College of Learning,Palmerston North,NZ,DEGREE,UG_DIPLOMA,Information Technology,12,,,,,,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
