program,university,city,country_code,pathway,level,study_area,duration_months,tuition_per_year,application_fee,initial_deposit,intakes,min_ielts,min_pte,min_oet_grade,min_german_level,max_backlogs,max_gap_years,moi_accepted,work_rights,work_rights_note,required_docs,status
Higher Diploma in Science in Computing,CCT College Dublin,Dublin,IE,DEGREE,PG_DIPLOMA,Computer Science,,8900,,,,,,,,,,,UNKNOWN,,,DRAFT
Higher Diploma in Science in Cybersecurity,CCT College Dublin,Dublin,IE,DEGREE,PG_DIPLOMA,Cybersecurity,,8900,,,,,,,,,,,UNKNOWN,,,DRAFT
BSc (Hons) in Computing and IT,CCT College Dublin,Dublin,IE,DEGREE,UG,Computer Science,,8600,,,,,,,,,,,UNKNOWN,,,DRAFT
BA (Hons) in Business,CCT College Dublin,Dublin,IE,DEGREE,UG,Business and Management,,8600,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Applied Data Science,Dundalk Institute of Technology,Dundalk,IE,DEGREE,PG,Data Science,12,12000,30,,9,6.5,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
Higher Diploma in Science in Data Analytics,Dundalk Institute of Technology,Dundalk,IE,DEGREE,UG_DIPLOMA,Data Science,,10950,30,,,6.0,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
BSc (Hons) in Mathematics and Data Science,Dundalk Institute of Technology,Dundalk,IE,DEGREE,UG,Data Science,,10950,30,,,6.0,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
BSc (Hons) in Computing in Software Development,Dundalk Institute of Technology,Dundalk,IE,DEGREE,UG,Computer Science,,10950,30,,,6.0,,,,,,,UNKNOWN,,PASSPORT|DEGREE_MARKSHEETS|DEGREE_CERTIFICATE|ENGLISH_TEST,DRAFT
Master of Business Administration,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Business and Management,,20500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Data Analytics,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Data Science,12,18500,50,1000,,6.0,,,,,,,UNKNOWN,,,DRAFT
MSc in Business Analytics,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Business Analytics,12,18500,50,1000,,6.5,,,,,,,UNKNOWN,,,DRAFT
MSc in Software Engineering,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Software Engineering,12,17500,50,1000,,6.5,,,,,,,UNKNOWN,,,DRAFT
MEng in Mechanical Engineering,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Mechanical Engineering,,17500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Quantity Surveying,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Quantity Surveying,,20500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Nursing in Leadership and Quality Healthcare,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Nursing,,18500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Pharmaceutical and Chemical Analysis,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Pharmaceutical Science,,20500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Biopharmaceutical Technology,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Biopharmaceutical Technology,,21500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
Master of Business in International and Sustainable Business Strategy,Technological University of the Shannon,Limerick,IE,DEGREE,PG,Business and Management,,16500,50,1000,,,,,,,,,UNKNOWN,,,DRAFT
BSc Pharmacy,RCSI University of Medicine and Health Sciences,Dublin,IE,DEGREE,UG,Pharmacy,60,25000,,,,,,,,,,,UNKNOWN,,,DRAFT
PgDip in Health Professions Education,RCSI University of Medicine and Health Sciences,Dublin,IE,DEGREE,PG_DIPLOMA,Health Professions Education,12,7500,,,,,,,,,,,UNKNOWN,,,DRAFT
MSc in Cyberpsychology,"Institute of Art, Design and Technology",Dun Laoghaire,IE,DEGREE,PG,Cyberpsychology,24,,,,9,,,,,,,,UNKNOWN,,,DRAFT
BSc in Strength and Conditioning,Setanta College,Thurles,IE,DEGREE,UG,Sports Science,54,,,,3|6|9|12,6.0,,,,,,,UNKNOWN,,,DRAFT
